Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Los Angeles,Job Title,2018-06,Quality Engineer,Median Base Pay,83120,0.021
Los Angeles,Job Title,2018-06,Operations Analyst,Median Base Pay,62464,0.04
Los Angeles,Job Title,2018-06,Medical Assistant,Median Base Pay,38975,0.053
Los Angeles,Job Title,2018-06,Tax Manager,Median Base Pay,115145,0.059
Los Angeles,Job Title,2018-06,Technical Editor,Median Base Pay,63553,0.024
Los Angeles,Job Title,2018-06,Truck Driver,Median Base Pay,56877,0.081
Los Angeles,Job Title,2018-06,Insurance Agent,Median Base Pay,47433,0.023
Los Angeles,Job Title,2018-06,Medical Technologist,Median Base Pay,63167,0.031
Los Angeles,Job Title,2018-06,Field Engineer,Median Base Pay,76670,0.029
Los Angeles,Job Title,2018-06,Machine Operator,Median Base Pay,37272,0.024
Los Angeles,Job Title,2018-06,Communications Manager,Median Base Pay,80170,0.001
Los Angeles,Job Title,2018-06,Construction Laborer,Median Base Pay,41005,0.037
Los Angeles,Job Title,2018-06,Emergency Medical Technician,Median Base Pay,34952,0.033
Los Angeles,Job Title,2018-06,Web Designer,Median Base Pay,62269,0
Los Angeles,Job Title,2018-06,Maintenance Worker,Median Base Pay,45638,0.022
Los Angeles,Job Title,2018-06,Barista,Median Base Pay,26855,0.043
Los Angeles,Job Title,2018-06,Bartender,Median Base Pay,35069,0.054
Los Angeles,Job Title,2018-06,Civil Engineer,Median Base Pay,80853,0.017
Los Angeles,Job Title,2018-06,Claims Adjuster,Median Base Pay,59575,0.044
Los Angeles,Job Title,2018-06,Certified Nursing Assistant,Median Base Pay,35142,0.044
Los Angeles,Job Title,2018-06,Customer Service Representative,Median Base Pay,43806,0.031
Los Angeles,Job Title,2018-06,Delivery Driver,Median Base Pay,41818,0.028
Los Angeles,Job Title,2018-06,Financial Advisor,Median Base Pay,59745,0.054
Los Angeles,Job Title,2018-06,Licensed Practical Nurse,Median Base Pay,50718,0.032
Los Angeles,Job Title,2018-06,Loan Officer,Median Base Pay,46674,-0.026
Los Angeles,Job Title,2018-06,Maintenance Technician,Median Base Pay,47102,0.043
Los Angeles,Job Title,2018-06,Material Handler,Median Base Pay,38043,0.059
Los Angeles,Job Title,2018-06,Network Engineer,Median Base Pay,80028,-0.03
Los Angeles,Job Title,2018-06,Office Manager,Median Base Pay,57240,0.024
Los Angeles,Job Title,2018-06,Pharmacist,Median Base Pay,137739,0.038
Los Angeles,Job Title,2018-06,Process Engineer,Median Base Pay,84384,0.011
Los Angeles,Job Title,2018-06,Program Manager,Median Base Pay,91976,0.016
Los Angeles,Job Title,2018-06,Research Assistant,Median Base Pay,33981,0.007
Los Angeles,Job Title,2018-06,Restaurant Manager,Median Base Pay,60088,0.024
Los Angeles,Job Title,2018-06,Security Officer,Median Base Pay,38979,0.055
Los Angeles,Job Title,2018-06,Server,Median Base Pay,33800,0.033
Los Angeles,Job Title,2018-06,Solutions Architect,Median Base Pay,118442,0.049
Los Angeles,Job Title,2018-06,Systems Engineer,Median Base Pay,91674,0.027
Los Angeles,Job Title,2018-06,Technical Support,Median Base Pay,55366,0.038
Los Angeles,Job Title,2018-06,UX Designer,Median Base Pay,89377,0.007
Philadelphia,Job Title,2018-06,Software Engineer,Median Base Pay,86061,0.029
Philadelphia,Job Title,2018-06,Programmer Analyst,Median Base Pay,73695,0.016
Philadelphia,Job Title,2018-06,Consultant,Median Base Pay,81227,0.029
